Tue Nov 29 00:57:58 2022    prof/profiling.prof

         3597715 function calls in 105.620 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  105.620  105.620 {built-in method builtins.exec}
        1    0.000    0.000  105.620  105.620 <string>:1(<module>)
        1    0.033    0.033  105.620  105.620 /home/marios/TweetyTerminal/app.py:223(main)
        1    0.000    0.000   82.798   82.798 /home/marios/TweetyTerminal/app.py:149(terminalUI)
        1    0.002    0.002   71.067   71.067 /home/marios/TweetyTerminal/app.py:162(menu)
        1   70.167   70.167   71.065   71.065 /home/marios/TweetyTerminal/app.py:105(saveToDisk)
        1    1.100    1.100   22.790   22.790 /home/marios/TweetyTerminal/app.py:15(loadTweets)
   299999    2.853    0.000   20.057    0.000 /usr/lib/python3.10/json/__init__.py:299(loads)
   299999    1.429    0.000   17.094    0.000 /usr/lib/python3.10/json/decoder.py:332(decode)
   299999   15.334    0.000   15.334    0.000 /usr/lib/python3.10/json/decoder.py:343(raw_decode)
        1   11.731   11.731   11.731   11.731 {built-in method builtins.input}
        1    0.660    0.660    1.602    1.602 {method 'readlines' of '_io._IOBase' objects}
   118849    0.386    0.000    0.941    0.000 /usr/lib/python3.10/codecs.py:319(decode)
    10001    0.126    0.000    0.898    0.000 /usr/lib/python3.10/json/__init__.py:183(dumps)
    10001    0.067    0.000    0.772    0.000 /usr/lib/python3.10/json/encoder.py:182(encode)
    10001    0.696    0.000    0.696    0.000 /usr/lib/python3.10/json/encoder.py:204(iterencode)
   118849    0.555    0.000    0.555    0.000 {built-in method _codecs.utf_8_decode}
   599998    0.221    0.000    0.221    0.000 {method 'match' of 're.Pattern' objects}
   299999    0.076    0.000    0.076    0.000 {method 'startswith' of 'str' objects}
   599998    0.069    0.000    0.069    0.000 {method 'end' of 're.Match' objects}
   320001    0.042    0.000    0.042    0.000 {built-in method builtins.isinstance}
   300000    0.040    0.000    0.040    0.000 {built-in method builtins.len}
   299999    0.031    0.000    0.031    0.000 {method 'append' of 'list' objects}
    10001    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {built-in method io.open}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        2    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/codecs.py:186(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/codecs.py:309(__init__)
        1    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/codecs.py:260(__init__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


