Tue Nov 29 00:19:54 2022    prof/profiling.prof

         897724 function calls in 105.413 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  105.413  105.413 {built-in method builtins.exec}
        1    0.000    0.000  105.413  105.413 <string>:1(<module>)
        1    0.031    0.031  105.413  105.413 /home/marios/TweetyTerminal/app.py:223(main)
        1    0.000    0.000   86.229   86.229 /home/marios/TweetyTerminal/app.py:149(terminalUI)
        1    0.002    0.002   76.250   76.250 /home/marios/TweetyTerminal/app.py:162(menu)
        1   75.275   75.275   76.248   76.248 /home/marios/TweetyTerminal/app.py:105(saveToDisk)
        1    1.198    1.198   19.152   19.152 /home/marios/TweetyTerminal/app.py:15(loadTweets)
   299999   16.426    0.000   16.426    0.000 {built-in method rapidjson.loads}
        1    9.979    9.979    9.979    9.979 {built-in method builtins.input}
        1    0.625    0.625    1.493    1.493 {method 'readlines' of '_io._IOBase' objects}
    10001    0.145    0.000    0.966    0.000 /usr/lib/python3.10/json/__init__.py:183(dumps)
   118849    0.350    0.000    0.868    0.000 /usr/lib/python3.10/codecs.py:319(decode)
    10001    0.075    0.000    0.821    0.000 /usr/lib/python3.10/json/encoder.py:182(encode)
    10001    0.736    0.000    0.736    0.000 /usr/lib/python3.10/json/encoder.py:204(iterencode)
   118849    0.518    0.000    0.518    0.000 {built-in method _codecs.utf_8_decode}
   299999    0.035    0.000    0.035    0.000 {method 'append' of 'list' objects}
    20002    0.008    0.000    0.008    0.000 {built-in method builtins.isinstance}
        2    0.007    0.003    0.007    0.003 {built-in method io.open}
    10001    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        2    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/codecs.py:309(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/codecs.py:186(__init__)
        1    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/codecs.py:260(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


